timestamp,ax,ay,az,gx,gy,gz,mag_acc,mag_gyro,diff_acc,diff_gyro,diff_time,label
36075,-0.96,-0.88,7.48,-0.22,-0.14,0.01,7.592522637,0.260959767,-0.190561584,-1.242669177,1001,0
37081,-0.67,-0.27,7.44,-0.07,-0.17,-0.34,7.47498495,0.386522962,-0.117537688,0.125563195,1006,0
38082,-0.01,0.28,7.44,-0.12,0.15,0.88,7.445273669,0.900721933,-0.029711281,0.514198971,1001,0
39088,0.24,-0.5,7.05,-0.25,-0.33,-0.35,7.071781954,0.542125447,-0.373491715,-0.358596486,1006,0
40089,-0.16,1.1,6.77,-0.02,0.04,0.67,6.860648657,0.671490879,-0.211133296,0.129365432,1001,0
41095,0.12,-0.38,7.09,-0.12,0.05,-0.2,7.101190041,0.238537209,0.240541384,-0.43295367,1006,1
42096,0.77,0.06,7.15,0.02,-0.03,-0.08,7.191592313,0.087749644,0.090402272,-0.150787565,1001,1
43102,-0.81,0.2,6.37,-0.29,0.18,0.81,6.424406587,0.878976678,-0.767185726,0.791227034,1006,1
44103,-1.23,-4.42,9.73,-0.17,0.23,-0.36,10.75742534,0.459782557,4.333018755,-0.41919412,1001,1
45109,-2.66,-8.54,3.4,-1.05,0.13,-0.16,9.56907519,1.070046728,-1.188350152,0.610264171,1006,1
46110,-2.06,-9.37,0.05,0.12,0.03,-0.4,9.593904315,0.418688428,0.024829124,-0.6513583,1001,1
47116,-1.23,-9.2,1.38,-0.56,-0.09,-0.23,9.383885123,0.61204575,-0.210019192,0.193357322,1006,1
48117,-1.61,-9.57,-0.55,0.16,0.14,0.04,9.720056584,0.216333077,0.336171461,-0.395712673,1001,1
49123,-1.36,-9.77,-1.82,-0.03,-0.06,-0.01,10.03069788,0.0678233,0.310641298,-0.148509777,1006,1
50124,-1.18,-9.86,-1.54,0.03,-0.13,0.01,10.04905966,0.133790882,0.018361775,0.065967582,1001,1
51130,-1.26,-9.78,-1.72,-0.03,-0.02,0.03,10.00971528,0.046904158,-0.039344377,-0.086886724,1006,1
53136,-0.99,-9.79,-1.36,-0.16,0.03,0.06,9.933468679,0.173493516,-0.076246601,0.126589358,2006,1
54137,-1.03,-9.8,-1.18,-0.17,-0.03,0.02,9.924379074,0.173781472,-0.009089605,0.000287956,1001,1
57148,-2.07,-9.49,-1.05,-0.06,-0.09,-0.38,9.76972364,0.395094925,-0.154655434,0.221313453,3011,1
58149,-0.82,-9.86,-0.09,0.32,0.13,0.19,9.894447938,0.394208067,0.124724298,-0.000886858,1001,0
59155,-0.98,-5.09,6.29,0.38,-0.65,0.25,8.150619608,0.793347339,-1.74382833,0.399139272,1006,0
61161,-0.71,-3.14,5.94,-1.08,-1.5,-0.08,6.756278561,1.850081079,-1.394341047,1.05673374,2006,0
62162,-0.29,-1.44,6.83,-0.83,-0.65,0.16,6.986172056,1.066302021,0.229893495,-0.783779058,1001,0
63168,0.99,-1.07,7.07,-0.37,-0.39,-0.09,7.218718723,0.545068803,0.232546667,-0.521233218,1006,0
64169,-1.14,-1.72,6.22,0.02,-0.78,0.08,6.553350288,0.784346862,-0.665368435,0.239278059,1001,0
65175,0.27,-0.26,7.13,-0.04,-0.03,0.22,7.139845937,0.225610283,0.586495649,-0.558736579,1006,0
66176,-0.92,0,6.32,-0.18,-0.3,-0.19,6.386610995,0.398120585,-0.753234942,0.172510301,1001,0
67182,1.59,-0.49,7,-0.08,-0.3,-0.15,7.195012161,0.344818793,0.808401166,-0.053301792,1006,0
68183,0.21,-0.95,7.75,0,-0.08,-0.36,7.810832222,0.368781778,0.615820061,0.023962985,1001,0
69189,0.78,0.81,6.32,0.13,0.48,-0.09,6.419260082,0.505371151,-1.39157214,0.136589372,1006,0
70190,0.75,-0.12,7.69,0.08,-0.19,0.35,7.727418715,0.40620192,1.308158633,-0.099169231,1001,0
71196,1.51,0.88,7.38,0.67,-0.26,-0.1,7.584121571,0.725603197,-0.143297144,0.319401277,1006,0
72197,1.4,-3.45,6.93,0.19,-0.51,0.03,7.866854518,0.545068803,0.282732947,-0.180534394,1001,0
73203,1.94,-0.95,6.65,0.19,0.07,0.91,6.992038329,0.93225533,-0.874816188,0.387186527,1006,0
74204,0.28,-1.55,5.91,0.4,0.07,1.25,6.116289725,1.3143059,-0.875748604,0.382050571,1001,0
75210,0.03,0.99,7.15,0.27,0,0.36,7.218275417,0.45,1.101985692,-0.8643059,1006,0
76211,-0.77,0.98,7.95,-0.19,-0.57,0.17,8.047098856,0.624419731,0.828823439,0.174419731,1001,0
77217,2.03,1.9,6.82,-0.01,0.11,0.05,7.365005092,0.121243557,-0.682093764,-0.503176174,1006,0
78218,3.9,1.69,6.3,0.01,-0.2,-0.05,7.599743417,0.206397674,0.234738325,0.085154118,1001,0
79224,4.72,2.38,5.6,-0.03,0.01,0.03,7.700831124,0.043588989,0.101087707,-0.162808685,1006,0
80225,5.17,2.43,5.34,0.03,-0.02,0,7.819808182,0.036055513,0.118977058,-0.007533477,1001,0
81231,4.2,1.85,6.25,-0.09,-0.01,0.04,7.75403121,0.098994949,-0.065776972,0.062939437,1006,0
82232,4.31,1.68,6.39,0.05,-0.05,0.08,7.888637398,0.106770783,0.134606189,0.007775833,1001,1
83238,5.31,1.36,5.46,-0.15,-0.27,-0.1,7.736749964,0.324653662,-0.151887435,0.217882879,1006,1
84239,11.23,-1.52,1.22,-0.4,-0.7,0.81,11.39788138,1.142847321,3.661131418,0.81819366,1001,1
85245,10.87,-1.25,-2.24,0.17,-0.1,0.28,11.16857198,0.342490876,-0.229309405,-0.800356446,1006,1
86246,10.01,-4.39,-1.4,-0.18,-0.65,-0.02,11.01962794,0.674759216,-0.148944034,0.332268341,1001,1
87252,5.73,-6.12,-0.13,-0.58,0.32,2.11,8.384759985,2.211537926,-2.634867958,1.53677871,1006,1
88253,9.26,-5.03,-2.47,-0.08,0,-0.02,10.82355764,0.082462113,2.438797656,-2.129075814,1001,1
90259,9.38,-4.82,-1.66,0.01,-0.03,0,10.67578569,0.031622777,-0.147771955,-0.050839336,2006,1
91265,9.2,-4.82,-2.19,0.01,-0.06,-0.02,10.61454191,0.064031242,-0.061243773,0.032408466,1006,1
92266,9.37,-4.49,-0.1,0,-0.19,-0.06,10.39071701,0.199248588,-0.223824901,0.135217346,1001,1
93272,9.63,-4.74,-1.69,-0.09,0.01,0.06,10.86556947,0.108627805,0.474852463,-0.090620784,1006,1
94273,9.4,-4.75,-2.07,-0.02,-0.02,0.02,10.73347101,0.034641016,-0.132098461,-0.073986789,1001,1
95279,9.15,-4.82,-2.14,-0.04,-0.06,0.02,10.56098954,0.074833148,-0.172481477,0.040192132,1006,1
96280,9.09,-4.79,-1.83,-0.06,-0.01,0.07,10.4365272,0.092736185,-0.124462337,0.017903037,1001,1
97286,9.01,-4.92,-2.87,0.02,-0.02,0,10.65942775,0.028284271,0.222900552,-0.064451914,1006,0
98287,8.23,-10.98,0.85,1.3,-0.9,-0.43,13.74830171,1.638566447,3.088873961,1.610282175,1001,0
99293,9.3,-3.69,0.13,-0.23,0.71,-0.64,10.00614811,0.983158176,-3.742153603,-0.65540827,1006,0
100294,9.09,-2.58,1.73,-0.28,0.38,-0.27,9.606112637,0.543783045,-0.400035473,-0.439375132,1001,0
101300,8.16,-2.38,3.78,0.09,0.52,-0.24,9.302601787,0.579741322,-0.303510851,0.035958277,1006,0
102301,9.83,-2.01,2.84,0.17,0.55,0.76,10.42758841,0.953414915,1.124986621,0.373673593,1001,0
103307,5.38,-1.7,5.6,0.1,0.99,-0.16,7.94949055,1.007819428,-2.478097858,0.054404513,1006,0
104308,1.96,-2.56,8.4,-0.23,0.53,-0.87,8.997510767,1.044365836,1.048020217,0.036546408,1001,0
105314,2.73,-2.28,6.64,-0.16,0.17,0.1,7.532655574,0.253968502,-1.464855193,-0.790397334,1006,0
106315,2.44,-1.87,6.77,-0.06,0.1,-0.69,7.435280761,0.699785681,-0.097374813,0.445817179,1001,0
107321,2.48,-0.57,6.63,0.17,0.26,0.09,7.101563208,0.323419233,-0.333717553,-0.376366449,1006,0
108322,1.51,-0.98,6.85,0.02,-0.12,0.11,7.082584274,0.164012195,-0.018978934,-0.159407038,1001,0
109328,1.6,-0.82,6.78,-0.03,0.23,0.04,7.014328193,0.235372046,-0.068256081,0.071359851,1006,0
110329,1.19,-1.22,7.41,-0.28,-0.13,-0.15,7.603459739,0.343220046,0.589131546,0.107848,1001,0
111335,0.61,-1.68,7.1,0.08,-0.42,-0.02,7.321509407,0.428018691,-0.281950332,0.084798645,1006,0
112336,1.56,-0.77,6.67,0.09,-0.11,0.03,6.893141519,0.14525839,-0.428367888,-0.282760301,1001,0
113342,2.17,-0.46,7.07,0.32,-0.17,-1.19,7.409817812,1.243945336,0.516676293,1.098686946,1006,0
114343,-0.07,2.37,5.74,0.25,-0.07,-1.31,6.210426716,1.335477443,-1.199391095,0.091532106,1001,0
115349,-0.35,0.81,7.19,-0.06,-0.44,-0.23,7.243942297,0.50009999,1.03351558,-0.835377453,1006,0
116350,1.98,0.67,6.36,-0.18,0.21,1.15,6.694691927,1.182793304,-0.54925037,0.682693314,1001,0
117356,1,0.78,7.43,-0.51,-0.49,0.98,7.537459784,1.208552854,0.842767857,0.02575955,1006,0
118357,2.09,0.29,7.19,-0.42,-0.35,0.98,7.493216933,1.122185368,-0.044242852,-0.086367486,1001,0
119363,1,-1.04,7.6,-0.31,0.43,0.33,7.735735259,0.624419731,0.242518327,-0.497765637,1006,0
120364,2.09,-3.35,6.68,-0.6,-0.35,-0.8,7.759703603,1.059481005,0.023968343,0.435061274,1001,0
121370,9.38,0.71,1.29,-0.61,0.18,-1.07,9.4948723,1.244748971,1.735168698,0.185267966,1006,0
123376,-0.33,1.02,6.28,0.09,0.23,0.3,6.370847667,0.388587185,-3.124024633,-0.856161786,2006,0
124377,-0.92,2.41,6,0.01,0.51,1.73,6.531041265,1.803635218,0.160193597,1.415048034,1001,0
125383,0.99,2.96,6.05,-0.52,0.31,0.9,6.807657453,1.084665847,0.276616189,-0.718969371,1006,0
126384,1.85,-0.74,7.16,0.02,0.66,-0.05,7.432072389,0.662193325,0.624414936,-0.422472522,1001,0
127390,2.14,0.35,5.37,-0.17,0.6,-1.35,5.791286558,1.487077671,-1.640785831,0.824884346,1006,1
128391,-1.23,2.54,8.68,-0.84,-1.31,-0.79,9.127261364,1.745222049,3.335974805,0.258144378,1001,1
130397,0.21,-0.35,7.21,-0.05,-0.06,-0.01,7.221544156,0.078740079,-1.905717207,-1.66648197,2006,1
131403,0.68,-0.52,7.26,-0.04,-0.03,0,7.310294112,0.05,0.088749956,-0.028740079,1006,1
136414,0.68,-0.5,7.25,-0.06,-0.06,0,7.29896568,0.084852814,-0.011328432,0.034852814,5011,0
137420,-0.18,0.39,7.35,1.53,-0.6,-0.23,7.362540322,1.659457743,0.063574642,1.574604929,1006,0
141431,3.61,4.74,5.01,0.28,-0.02,0.43,7.784587337,0.513517283,0.422047014,-1.14594046,4011,0
142432,4.75,7.26,1.3,0.41,-0.98,-0.46,8.772690579,1.157626883,0.988103243,0.6441096,1001,0
