150468,3.54,-9.71,-4.67, -0.35,0.23,-0.02
151474,2.79,-9.84,-1.30, -0.24,0.61,-0.22
152475,4.03,-9.43,-3.32, 0.13,0.15,0.12
153481,3.22,-10.04,-3.17, -0.30,-0.27,0.03
154482,3.77,-9.26,-0.92, -0.35,0.23,0.21
155488,3.33,-10.42,-2.48, 0.03,0.63,-0.02
156489,3.40,-9.76,-3.52, -0.24,-0.12,-0.01
157495,3.72,-8.88,-1.26, -0.33,0.37,-0.06
158496,2.91,-9.91,-4.12, 0.20,0.30,0.03
159502,3.94,-9.20,-3.04, -0.04,-0.44,0.08
160503,4.58,-9.59,-2.83, -0.28,0.71,0.26
161509,3.99,-8.53,-1.19, -0.13,-0.01,0.10
162510,4.82,-8.99,-1.99, -0.13,0.21,-0.03
163516,4.88,-9.02,-3.54, 0.06,0.28,0.14
164517,4.78,-9.61,-3.50, -0.37,-0.02,-0.06
165523,4.29,-8.22,-2.03, -0.47,0.30,-0.02
166524,4.84,-9.69,-1.44, 0.13,0.09,-0.13
167530,3.07,-9.89,-3.18, 0.19,-0.08,0.34
168531,3.01,-9.29,-2.95, -0.42,-0.06,0.21
169537,4.13,-9.72,-0.69, -0.39,0.56,0.00
170538,3.71,-10.12,-4.45, 0.16,0.49,-0.16
171544,3.74,-9.33,-3.21, -0.20,-0.08,0.26
172545,1.92,-9.00,-3.80, -0.26,0.42,0.31
173551,4.39,-8.38,-1.22, -0.34,0.76,0.10
174552,4.76,-10.63,-2.56, 0.15,0.15,-0.10
175558,4.43,-8.64,-2.86, -0.10,-0.03,0.17
176559,4.48,-10.77,-3.39, -0.26,-0.24,0.43
177565,4.37,-8.78,-1.17, -0.37,0.84,0.14
178566,5.33,-9.12,-3.49, 0.15,0.07,0.10
179572,5.14,-8.93,-3.30, -0.23,0.08,0.19
180573,4.78,-12.62,-3.34, -0.74,-0.35,0.26
181579,2.27,-8.52,-0.42, -0.02,0.55,-0.01
182580,4.50,-9.19,-3.89, -0.08,-0.06,0.11
183586,5.47,-8.77,-1.00, -0.43,0.45,0.10
184587,6.33,-10.99,-3.61, -0.13,0.61,-0.21
185593,4.54,-9.48,-3.47, -0.15,-0.13,-0.01
186594,5.26,-8.46,-1.50, -0.38,0.11,-0.08
187600,2.98,-8.27,-0.32, 0.34,0.27,-0.71
188601,4.45,-9.11,-3.07, -0.01,0.36,0.21
189607,6.52,-9.20,-4.53, -0.16,0.41,0.13
190608,5.60,-9.06,-1.25, -0.46,0.04,0.10
191614,4.28,-9.33,-2.09, -0.10,0.05,0.07
192615,4.47,-9.05,-0.64, 0.28,0.16,0.08
193621,5.91,-8.04,1.17, 0.02,-0.05,-0.03
194622,3.62,-9.20,-1.43, -0.28,-0.11,0.14
195628,4.81,-8.76,-3.10, -0.04,0.11,-0.07
196629,4.88,-7.79,0.41, -0.42,-0.19,-0.12
197635,4.59,-9.45,-2.77, -0.08,0.42,0.18
198636,4.31,-9.52,-3.74, -0.33,0.32,0.09
199642,4.81,-8.94,-0.85, -0.51,0.57,0.02
200643,5.03,-8.82,-2.92, 0.01,0.36,0.16
201649,3.95,-8.82,-2.62, 0.12,-0.41,0.12
202650,4.84,-8.57,-1.03, -0.13,0.64,-0.16
203656,5.77,-8.45,-2.53, -0.11,-0.08,0.16
204657,6.19,-7.72,-0.02, -0.41,0.08,-0.51
205663,6.46,-10.53,-1.58, -0.04,0.69,-0.55
206664,6.29,-7.95,-3.07, -0.32,-0.39,0.06
207670,5.09,-8.80,-0.85, -0.39,0.76,-0.54
208671,5.53,-8.77,-3.26, -0.26,0.03,0.12
209677,6.25,-7.07,-0.13, -0.11,-0.19,-0.60
210678,4.35,-8.64,-0.51, -0.24,1.39,-0.31
211684,6.79,-8.11,-3.05, 0.04,-0.64,0.08
212685,4.62,-8.76,-1.14, -0.36,0.31,-0.06
213691,6.73,-7.85,-2.68, 0.25,0.23,0.21
214692,5.24,-8.60,-2.51, -0.06,-0.41,0.26
215698,5.61,-8.28,-1.11, -0.60,0.36,0.07
216699,5.51,-8.41,-3.25, 0.13,0.53,0.41
217705,5.77,-8.13,0.81, 0.01,0.00,-0.32
218706,5.00,-8.03,-1.08, 0.09,0.20,0.21
219712,5.90,-8.62,-2.73, 0.13,-0.06,0.21
220713,6.56,-8.44,-2.96, -0.32,-0.80,0.31
221719,5.77,-7.85,-0.51, -0.30,0.02,-0.53
222720,6.96,-10.18,-1.88, -0.13,0.99,-0.56
223726,6.21,-7.95,-2.39, -0.12,-0.48,0.31
224727,4.35,-8.22,-1.05, -0.04,-1.03,-0.29
225733,4.60,-8.27,3.61, 0.05,0.67,-0.45
226734,5.97,-8.04,-2.88, 0.59,0.02,0.01
227740,6.86,-7.83,-2.85, -0.29,-0.49,-0.42
228741,3.58,-9.30,-2.62, -0.50,0.67,0.11
229747,7.67,-7.30,-1.23, -0.19,-0.39,0.08
230748,4.61,-9.38,-3.03, -0.58,1.18,0.06
231754,6.25,-8.41,-3.54, -0.19,-0.25,0.03
232755,4.92,-9.00,-1.29, -0.37,0.35,0.09
233761,6.10,-8.21,-2.95, 0.24,0.28,0.12
234762,6.27,-8.10,-1.80, -0.36,-0.01,-0.26
235768,6.32,-9.88,-1.23, -0.47,1.17,-0.17
236769,5.46,-8.56,-3.33, 0.00,-0.26,-0.05
237775,4.48,-9.36,-1.17, -0.72,1.17,-0.13
238776,5.78,-8.47,-3.33, -0.16,0.61,0.08
239782,4.43,-9.09,-1.20, -0.51,0.35,-0.16
240783,4.71,-8.75,-0.78, 0.07,0.37,-0.04
241789,5.29,-8.74,-3.22, 0.47,-0.31,0.15
242790,5.68,-7.85,-0.47, -0.31,0.24,-0.18
243796,3.84,-8.19,-0.23, 0.13,0.48,-0.38
244797,6.19,-7.99,-3.14, -0.07,-0.09,0.13
245803,4.47,-8.70,-1.45, -0.23,0.69,0.25
246804,4.56,-7.86,-1.24, -0.34,0.04,-0.02
247810,6.22,-7.56,1.43, 0.33,0.03,-0.58
248811,8.17,-5.43,1.65, -0.05,-0.16,-0.12
249817,4.63,-8.61,-0.84, -0.46,-0.09,0.15
250818,5.96,-9.01,-3.09, 0.05,-0.83,-0.13
251824,5.40,-8.25,-0.86, 0.11,-0.44,-0.16
252825,3.68,-8.41,0.95, 0.76,-0.11,0.22
253831,7.98,-4.91,1.41, 0.40,1.47,0.28
254832,6.58,-6.53,3.34, -0.75,-0.03,-0.45
255838,5.46,-7.23,2.24, -0.06,-0.00,0.04
