threshold,accuracy,precision,recall,f1,n_windows,positive_rate,feature_set,base_feature_cols,window_size,min_positive_rows_in_window,model_name,model_params
0.30000000000000004,0.7683997299122215,0.45217391304347826,0.5032258064516129,0.4763358778625954,1481,0.20931802835921676,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",7,2,RandomForest,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.25000000000000006,0.7575962187711006,0.43466666666666665,0.5258064516129032,0.4759124087591241,1481,0.20931802835921676,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",7,2,RandomForest,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
0.15000000000000002,0.8073846153846154,0.3821138211382114,0.6238938053097345,0.47394957983193275,1625,0.13907692307692307,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",5,3,RandomForest,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
0.25000000000000006,0.7876923076923077,0.43137254901960786,0.5202702702702703,0.47166921898928027,1625,0.18215384615384617,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",5,2,RandomForest,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.30000000000000004,0.8670769230769231,0.5274725274725275,0.4247787610619469,0.47058823529411764,1625,0.13907692307692307,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",5,3,ExtraTrees,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.1,0.3645137342242019,0.3111111111111111,0.9521410579345088,0.46898263027295284,1347,0.2947290274684484,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",9,1,RandomForest,"{""n_estimators"": 700, ""max_depth"": 12, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.1,0.3801039346696362,0.3128205128205128,0.9219143576826196,0.46713465220165923,1347,0.2947290274684484,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",9,1,RandomForest,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
0.1,0.36080178173719374,0.3092105263157895,0.947103274559194,0.4662120272783633,1347,0.2947290274684484,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",9,1,RandomForest,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.3500000000000001,0.7643484132343011,0.44314868804664725,0.49032258064516127,0.4655436447166922,1481,0.20931802835921676,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",7,2,ExtraTrees,"{""n_estimators"": 700, ""max_depth"": 12, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
0.20000000000000004,0.7704615384615384,0.40350877192982454,0.543918918918919,0.4633093525179856,1625,0.18215384615384617,A_all_10,"ax, ay, az, gx, gy, gz, mag_acc, mag_gyro, diff_acc, diff_gyro",5,2,RandomForest,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
